Employee_ID,Employee_Name,Age,Gender,Department,Job_Role,Joining_Date,Monthly_Salary,Performance_Rating,Attendance_Percentage,Promotion_Status,Work_Location,,,Days_Since_Joining,Min-max scaling of performance,min-max scaling of attendance,Scaling for attendance,Value of the Employee,Rating,,,
EMP0012,Geeta Malhotra,27,Female,Sales,Manager,21/04/22,175386,4,87.6,Promoted,Ahmedabad,,,1534,0.75,0.854117647,0.494026477,0.73,High,,Tenure,20%
EMP0013,Sangeeta Tiwari,25,Female,Operations,Coordinator,25/12/23,86731,3,71.5,Not Promoted,Kolkata,,,921,0.5,0.664705882,0.296092993,0.509,Medium,,,
EMP0014,Harish Naik,31,Female,Customer Support,Specialist,09/12/24,250714,2,69,Promoted,Delhi,,,571,0.25,0.635294118,0.1830804,0.352,Low,,,
EMP0015,Aarav Das,39,Male,Information Technology,Team Lead,15/05/25,238477,2,70.4,Not Promoted,Kolkata,,,414,0.25,0.651764706,0.13238618,0.347,Low,,,
EMP0016,Aarav Iyer,53,Male,Human Resources,Supervisor,25/06/21,107744,5,89.2,Not Promoted,Mumbai,,,1834,1,0.872941176,0.590894414,0.88,High,,,
EMP0017,Neha Pillai,50,Female,Sales,Executive,07/03/19,181219,1,79,Promoted,Kolkata,,,2675,0,0.752941176,0.86244753,0.398,Low,,,
EMP0018,Priya Banerjee,56,Female,Sales,Analyst,05/06/22,228900,2,63.2,Not Promoted,Hyderabad,,,1489,0.25,0.567058824,0.479496287,0.391,Low,,,
EMP0019,Jai Mehta,49,Female,Customer Support,Supervisor,07/01/26,113760,3,62.5,Not Promoted,Ahmedabad,,,177,0.5,0.558823529,0.05586051,0.429,Low,,,
EMP0020,Vikram Chatterjee,32,Female,Logistics,Coordinator,16/06/25,108857,1,76.6,Not Promoted,Kochi,,,382,0,0.724705882,0.1220536,0.242,Low,,,
EMP0021,Aarav Iyer,42,Female,Finance,Associate,07/05/25,22065,5,74.8,Not Promoted,Chennai,,,422,1,0.703529412,0.134969325,0.738,High,,,
EMP0022,Vinay Kapoor,47,Female,Information Technology,Engineer,06/08/24,44897,3,51.8,Not Promoted,Kochi,,,696,0.5,0.432941176,0.223442041,0.425,Low,,,
EMP0023,Meera Hegde,39,Male,Administration,Executive,19/10/25,239004,2,90.3,Promoted,Ahmedabad,,,257,0.25,0.885882353,0.08169196,0.407,Low,,,
EMP0024,Kavya Pandey,38,Female,Finance,Supervisor,22/03/20,111037,3,82.6,Not Promoted,Bengaluru,,,2294,0.5,0.795294118,0.73942525,0.636,Medium,,,
EMP0025,Radha Iyer,29,Male,Information Technology,Supervisor,21/12/18,37345,5,74.8,Promoted,Delhi,,,2751,1,0.703529412,0.886987407,0.888,High,,,
EMP0026,Indira Bose,60,Male,Operations,Executive,03/11/21,248661,2,65.4,Not Promoted,Bengaluru,,,1703,0.25,0.592941176,0.548595415,0.413,Low,,,
EMP0027,Gaurav Bhatt,54,Male,Sales,Consultant,25/08/25,70838,2,78.3,Not Promoted,Coimbatore,,,312,0.25,0.744705882,0.099451082,0.368,Low,,,
EMP0028,Indira Reddy,31,Male,Administration,Associate,02/11/20,184309,5,52.3,Not Promoted,Chennai,,,2069,1,0.438823529,0.666774298,0.765,High,,,
EMP0029,Priya Gupta,29,Male,Marketing,Supervisor,26/04/21,5000000,1,74.6,Promoted,Chennai,,,1894,0,0.701176471,0.610268001,0.332,Low,,,
EMP0030,Ramesh Gupta,59,Female,Operations,Associate,22/05/18,217475,3,80.5,Not Promoted,Hyderabad,,,2964,0.5,0.770588235,0.955763642,0.672,High,,,
EMP0031,Nisha Verma,39,Female,Customer Support,Supervisor,10/01/26,139448,2,76.2,Promoted,Mumbai,,,174,0.25,0.72,0.054891831,0.352,Low,,,
EMP0032,Mohan Tiwari,31,Male,Customer Support,Executive,05/05/24,162596,2,56.6,Promoted,Pune,,,789,0.25,0.489411765,0.253471101,0.323,Low,,,
EMP0033,Amit Tiwari,32,Female,Information Technology,Executive,21/03/25,38664,5,69.8,Not Promoted,Bengaluru,,,469,1,0.644705882,0.150145302,0.723,High,,,
EMP0034,Kavya Kulkarni,35,Female,Customer Support,Engineer,13/05/23,67707,3,75.1,Promoted,Coimbatore,,,1147,0.5,0.707058824,0.369066839,0.536,Medium,,,
EMP0035,Suresh Chopra,27,Female,Logistics,Manager,12/12/19,90576,4,86.9,Promoted,Hyderabad,,,2395,0.75,0.845882353,0.772037456,0.783,High,,,
EMP0036,Gitanjali Tiwari,31,Male,Sales,Manager,19/11/23,138895,4,69.8,Not Promoted,Bengaluru,,,957,0.75,0.644705882,0.307717146,0.63,Medium,,,
EMP0037,Mohan Tiwari,41,Female,Administration,Manager,02/02/19,35519,1,71.8,Not Promoted,Mumbai,,,2708,0,0.668235294,0.873103003,0.375,Low,,,
EMP0038,Madhuri Patel,39,Male,Marketing,Team Lead,11/02/18,298037,3,59.8,Not Promoted,Bengaluru,,,3064,0.5,0.527058824,0.988052954,0.606,Medium,,,
EMP0039,Kavya Das,45,Male,Marketing,Supervisor,02/12/20,123868,4,52.8,Promoted,Delhi,,,2039,0.75,0.444705882,0.657087504,0.64,Medium,,,
EMP0040,Meera Joshi,59,Male,Customer Support,Executive,09/01/22,186710,4,62.2,Promoted,Bengaluru,,,1636,0.75,0.555294118,0.526961576,0.647,High,,,
EMP0041,Aditya Verma,32,Male,Sales,Associate,17/12/24,154175,1,82.3,Not Promoted,Bengaluru,,,563,0,0.791764706,0.180497255,0.274,Low,,,
EMP0042,Harish Menon,26,Female,Administration,Consultant,05/04/24,217051,5,95.2,Not Promoted,Delhi,,,819,1,0.943529412,0.263157895,0.836,High,,,
EMP0043,Seema Das,28,Female,Research & Development,Manager,21/09/18,37422,2,63.4,Not Promoted,Bengaluru,,,2842,0.25,0.569411765,0.916370681,0.479,Medium,,,
EMP0044,Nikhil Malhotra,41,Male,Sales,Coordinator,17/06/25,253152,5,50.8,Not Promoted,Pune,,,381,1,0.421176471,0.121730707,0.651,High,,,
EMP0045,Ananya Chatterjee,28,Male,Marketing,Coordinator,23/11/25,251504,4,89.7,Not Promoted,Kochi,,,222,0.75,0.878823529,0.070390701,0.653,High,,,
EMP0046,Mohan Lal,55,Male,Marketing,Consultant,03/05/20,55715,5,96.3,Not Promoted,Ahmedabad,,,2252,1,0.956470588,0.725863739,0.932,High,,,
EMP0047,Rajan Lal,26,Male,Human Resources,Specialist,09/12/18,88000,4,59.6,Not Promoted,Coimbatore,,,2763,0.75,0.524705882,0.890862125,0.711,High,,,
EMP0048,Vinay Verma,22,Male,Operations,Manager,14/04/20,76056,1,99.9,Not Promoted,Hyderabad,,,2271,0,0.998823529,0.731998708,0.446,Low,,,
EMP0049,Gitanjali Mehta,39,Male,Customer Support,Analyst,22/06/21,116852,4,69.3,Promoted,Bengaluru,,,1837,0.75,0.638823529,0.591863093,0.685,High,,,
EMP0050,Nikhil Desai,40,Female,Information Technology,Team Lead,28/02/26,84823,1,87.4,Promoted,Pune,,,125,0,0.851764706,0.039070068,0.263,Low,,,
EMP0051,Shreya Mukherjee,29,Female,Logistics,Coordinator,09/06/20,282988,3,91.4,Not Promoted,Kochi,,,2215,0.5,0.898823529,0.713916694,0.662,High,,,
EMP0052,Neha Rao,50,Female,Information Technology,Manager,10/09/21,287593,2,90.1,Promoted,Coimbatore,,,1757,0.25,0.883529412,0.566031644,0.503,Medium,,,
EMP0053,Ramesh Lal,54,Male,Sales,Supervisor,17/11/22,95803,5,50,Not Promoted,Kolkata,,,1324,1,0.411764706,0.426218922,0.709,High,,,
EMP0054,Vinay Reddy,21,Female,Finance,Consultant,19/02/23,75919,1,74.8,Promoted,Mumbai,,,1230,0,0.703529412,0.395866968,0.29,Low,,,
EMP0055,Priya Shah,28,Male,Marketing,Team Lead,11/12/19,999999,1,74.8,Not Promoted,Chennai,,,2396,0,0.703529412,0.772360349,0.366,Low,,,
EMP0056,Gitanjali Chopra,40,Female,Operations,Supervisor,25/06/18,252263,3,74,Not Promoted,Delhi,,,2930,0.5,0.694117647,0.944785276,0.647,High,,,
EMP0057,Manish Das,29,Male,Operations,Supervisor,20/07/25,141396,2,90.5,Not Promoted,Kochi,,,348,0.25,0.888235294,0.111075234,0.414,Low,,,
EMP1015,Vishal Chatterjee,26,Female,Sales,Engineer,30/07/21,258397,1,67.3,Not Promoted,Kolkata,,,1799,0,0.615294118,0.579593155,0.301,Low,,,
EMP0059,Aditya Verma,59,Female,Information Technology,Engineer,22/11/22,44008,1,76.7,Not Promoted,Kochi,,,1319,0,0.725882353,0.424604456,0.303,Low,,,
EMP0060,Pooja Banerjee,32,Female,Finance,Supervisor,25/04/21,37261,3,71.2,Not Promoted,Hyderabad,,,1895,0.5,0.661176471,0.610590894,0.57,Medium,,,
EMP0061,Akash Rao,26,Female,Customer Support,Consultant,07/02/24,218949,3,79.6,Not Promoted,Pune,,,877,0.5,0.76,0.281885696,0.534,Medium,,,
EMP0062,Arjun Chopra,43,Male,Finance,Team Lead,21/08/25,71696,1,68.4,Not Promoted,Coimbatore,,,316,0,0.628235294,0.100742654,0.209,Low,,,
EMP0063,Mohan Kulkarni,28,Female,Marketing,Consultant,13/06/19,90719,2,64.4,Not Promoted,Chennai,,,2577,0.25,0.581176471,0.830804004,0.466,Medium,,,
EMP0064,Vijay Chauhan,41,Female,Information Technology,Manager,12/08/22,294533,5,56.4,Not Promoted,Kolkata,,,1421,1,0.487058824,0.457539554,0.738,High,,,
EMP0065,Radha Chatterjee,26,Female,Human Resources,Coordinator,24/07/20,270674,1,75,Not Promoted,Mumbai,,,2170,0,0.705882353,0.699386503,0.352,Low,,,
EMP0066,Chirag Chauhan,23,Male,Administration,Analyst,25/12/21,87613,3,88.8,Not Promoted,Chennai,,,1651,0.5,0.868235294,0.531804973,0.617,Medium,,,
EMP0067,Ananya Sharma,34,Male,Administration,Manager,19/03/25,295073,4,74.8,Not Promoted,Chennai,,,471,0.75,0.703529412,0.150791088,0.616,Medium,,,
EMP0068,Manish Singh,59,Male,Information Technology,Consultant,26/01/20,85843,5,72.9,Not Promoted,Chennai,,,2350,1,0.681176471,0.757507265,0.856,High,,,
EMP0069,Chirag Singh,40,Male,Human Resources,Manager,21/05/24,226282,3,96.9,Not Promoted,Hyderabad,,,773,0.5,0.963529412,0.248304811,0.589,Medium,,,
EMP0070,Pooja Jain,43,Male,Human Resources,Associate,17/06/24,162596,5,92.1,Not Promoted,Kolkata,,,746,1,0.907058824,0.239586697,0.82,High,,,
EMP0071,Pankaj Tiwari,32,Female,Administration,Analyst,13/05/22,236246,3,97.9,Not Promoted,Ahmedabad,,,1512,0.5,0.975294118,0.486922829,0.64,Medium,,,
EMP0072,Aarav Hegde,32,Male,Marketing,Manager,10/12/19,29325,2,76.4,Promoted,Pune,,,2397,0.25,0.722352941,0.772683242,0.496,Medium,,,
EMP0073,Neha Kapoor,46,Female,Customer Support,Engineer,22/12/20,216366,2,50.3,Not Promoted,Ahmedabad,,,2019,0.25,0.415294118,0.650629642,0.38,Low,,,
EMP0074,Shivam Pandey,51,Female,Information Technology,Associate,10/05/24,93963,5,52.4,Not Promoted,Kochi,,,784,1,0.44,0.251856635,0.682,High,,,
EMP0075,Harish Kulkarni,30,Female,Sales,Supervisor,28/04/19,228020,3,88.7,Not Promoted,Delhi,,,2623,0.5,0.867058824,0.845657088,0.679,High,,,
EMP0076,Rajan Chopra,25,Male,Sales,Manager,03/05/22,102157,2,85.6,Promoted,Delhi,,,1522,0.25,0.830588235,0.49015176,0.472,Medium,,,
EMP0077,Anjali Rao,24,Male,Finance,Coordinator,05/04/22,132865,3,71.9,Not Promoted,Chennai,,,1550,0.5,0.669411765,0.499192767,0.551,Medium,,,
EMP0078,Kiran Hegde,48,Female,Operations,Team Lead,13/06/22,108412,5,74.8,Not Promoted,Coimbatore,,,1480,1,0.703529412,0.476590249,0.806,High,,,
EMP0079,Rekha Mehta,51,Female,Administration,Engineer,06/02/23,291939,4,79.8,Not Promoted,Kochi,,,1243,0.75,0.762352941,0.400064579,0.684,High,,,
EMP0080,Shalini Naik,50,Male,Administration,Executive,13/06/22,258298,2,56.1,Not Promoted,Chennai,,,1480,0.25,0.483529412,0.476590249,0.365,Low,,,
EMP0081,Rohit Menon,41,Male,Sales,Engineer,14/05/19,245259,5,96.5,Promoted,Bengaluru,,,2607,1,0.958823529,0.840490798,0.956,High,,,
EMP0082,Divya Kulkarni,33,Male,Sales,Team Lead,24/03/18,201362,1,97.9,Promoted,Chennai,,,3023,0,0.975294118,0.974814336,0.488,Medium,,,
EMP0083,Lakshmi Bose,59,Male,Sales,Supervisor,13/06/26,23383,2,73.1,Not Promoted,Delhi,,,20,0.25,0.683529412,0.00516629,0.331,Low,,,
EMP0084,Gitanjali Banerjee,43,Female,Sales,Team Lead,13/03/18,256905,1,58.4,Promoted,Mumbai,,,3034,0,0.510588235,0.978366161,0.349,Low,,,
EMP0085,Esha Mukherjee,39,Female,Operations,Engineer,08/12/25,266850,3,82.7,Not Promoted,Ahmedabad,,,207,0.5,0.796470588,0.065547304,0.502,Medium,,,
EMP0086,Geeta Bhatt,21,Female,Human Resources,Team Lead,13/06/22,67280,3,55.4,Promoted,Kolkata,,,1480,0.5,0.475294118,0.476590249,0.488,Medium,,,
EMP0087,Seema Banerjee,21,Male,Operations,Associate,05/02/22,197781,3,45,Not Promoted,Pune,,,1609,0.5,0.352941176,0.518243461,0.46,Medium,,,
EMP0088,Rohit Gupta,59,Male,Marketing,Supervisor,19/11/18,66030,4,53.6,Promoted,Mumbai,,,2783,0.75,0.454117647,0.897319987,0.691,High,,,
EMP0089,Deepa Das,45,Female,Sales,Manager,09/08/18,89579,5,62.6,Not Promoted,Kolkata,,,2885,1,0.56,0.930255086,0.854,High,,,
EMP0090,Kavya Sharma,42,Female,Sales,Consultant,05/01/21,280901,2,58.5,Not Promoted,Coimbatore,,,2005,0.25,0.511764706,0.646109138,0.408,Low,,,
EMP0091,Deepak Verma,24,Male,Human Resources,Team Lead,19/12/21,266053,2,53,Not Promoted,Delhi,,,1657,0.25,0.447058824,0.533742331,0.366,Low,,,
EMP0092,Vinay Tiwari,36,Female,Sales,Executive,14/10/20,152816,4,96.6,Not Promoted,Bengaluru,,,2088,0.75,0.96,0.672909267,0.798,High,,,
EMP0093,Esha Hegde,32,Male,Logistics,Manager,21/07/21,276704,4,68,Not Promoted,Mumbai,,,1808,0.75,0.623529412,0.582499193,0.679,High,,,
EMP0094,Manish Menon,53,Female,Marketing,Consultant,16/03/20,253998,2,94.4,Not Promoted,Kochi,,,2300,0.25,0.934117647,0.741362609,0.554,Medium,,,
EMP0095,Akash Chopra,42,Female,Sales,Analyst,17/03/24,39972,2,51.6,Promoted,Pune,,,838,0.25,0.430588235,0.269292864,0.308,Low,,,
EMP0096,Indira Menon,21,Male,Finance,Engineer,06/03/18,150453,1,56.2,Promoted,Bengaluru,,,3041,0,0.484705882,0.980626413,0.342,Low,,,
EMP0097,Aditya Pandey,44,Female,Information Technology,Coordinator,28/04/22,44592,4,59,Promoted,Kochi,,,1527,0.75,0.517647059,0.491766225,0.629,Medium,,,
EMP0098,Shivam Kapoor,25,Female,Information Technology,Team Lead,24/05/25,181092,5,52.1,Promoted,Mumbai,,,405,1,0.436470588,0.129480142,0.657,High,,,
EMP0099,Akash Chauhan,56,Female,Sales,Specialist,29/03/23,78047,3,93,Not Promoted,Mumbai,,,1192,0.5,0.917647059,0.383597029,0.602,Medium,,,
EMP0100,Deepa Singh,31,Female,Finance,Engineer,06/04/20,88351,2,81.3,Promoted,Coimbatore,,,2279,0.25,0.78,0.734581853,0.506,Medium,,,
EMP0101,Lokesh Tiwari,26,Male,Sales,Supervisor,04/01/24,29462,5,72,Not Promoted,Ahmedabad,,,911,1,0.670588235,0.292864062,0.76,High,,,
EMP0102,Zara Pandey,57,Female,Unknown,Coordinator,17/06/19,263622,5,67.2,Not Promoted,Mumbai,,,2573,1,0.614117647,0.829512431,0.85,High,,,
EMP0103,Deepak Chauhan,59,Male,Information Technology,Analyst,16/03/25,56484,2,80.1,Not Promoted,Hyderabad,,,474,0.25,0.765882353,0.151759768,0.385,Low,,,
EMP0104,Tanvi Kulkarni,47,Female,Human Resources,Team Lead,27/04/22,117405,3,93.9,Not Promoted,Chennai,,,1528,0.5,0.928235294,0.492089119,0.627,Medium,,,
EMP0105,Ananya Lal,33,Female,Operations,Engineer,26/09/19,272884,3,78.4,Not Promoted,Hyderabad,,,2472,0.5,0.745882353,0.796900226,0.633,Medium,,,
EMP0106,Rajan Banerjee,36,Male,Marketing,Team Lead,28/06/20,285884,5,55.1,Not Promoted,Coimbatore,,,2196,1,0.471764706,0.707781724,0.783,High,,,
EMP0107,Divya Agarwal,38,Female,Administration,Engineer,30/05/20,179496,1,76.1,Not Promoted,Chennai,,,2225,0,0.718823529,0.717145625,0.359,Low,,,
EMP0108,Hemant Banerjee,21,Female,Information Technology,Specialist,08/01/24,162694,5,54.5,Unknown,Kochi,,,907,1,0.464705882,0.29157249,0.698,High,,,
EMP0109,Hemant Jain,59,Male,Research & Development,Associate,08/03/20,101829,1,89.7,Promoted,Ahmedabad,,,2308,0,0.878823529,0.743945754,0.412,Low,,,
EMP0110,Arjun Lal,48,Unknown,Research & Development,Unknown,20/07/24,292466,4,99.7,Not Promoted,Bengaluru,,,713,0.75,0.996470588,0.228931224,0.72,High,,,
EMP0111,Shivam Kulkarni,58,Female,Sales,Associate,19/08/21,73900,3,82.2,Promoted,Hyderabad,,,1779,0.5,0.790588235,0.573135292,0.602,Medium,,,
EMP0112,Radha Mishra,39,Male,Sales,Specialist,09/05/23,43274,3,60.9,Not Promoted,Ahmedabad,,,1151,0.5,0.54,0.370358411,0.486,Medium,,,
EMP0113,Gitanjali Tiwari,24,Male,Sales,Specialist,22/12/18,63828,4,59.2,Not Promoted,Coimbatore,,,2750,0.75,0.52,0.886664514,0.708,High,,,
EMP0114,Gaurav Chopra,57,Female,Marketing,Analyst,08/12/18,55914,3,89.2,Promoted,Mumbai,,,2764,0.5,0.872941176,0.891185018,0.69,High,,,
EMP0115,Farhan Chauhan,25,Male,Customer Support,Manager,01/10/23,162596,4,60,Not Promoted,Delhi,,,1006,0.75,0.529411765,0.323538909,0.599,Medium,,,
EMP0116,Vinay Menon,58,Female,Information Technology,Coordinator,11/07/19,140941,2,70.4,Not Promoted,Pune,,,2549,0.25,0.651764706,0.821762996,0.485,Medium,,,
EMP0117,Jai Banerjee,45,Female,Finance,Specialist,13/06/22,44152,2,74.5,Not Promoted,Kochi,,,1480,0.25,0.7,0.476590249,0.43,Low,,,
EMP0118,Aditya Krishnan,48,Male,Sales,Analyst,15/12/22,235143,4,50.9,Promoted,Bengaluru,,,1296,0.75,0.422352941,0.417177914,0.585,Medium,,,
EMP0119,Mohan Gandhi,45,Male,Information Technology,Manager,06/07/21,162596,3,84.8,Not Promoted,Coimbatore,,,1823,0.5,0.821176471,0.58734259,0.614,Medium,,,
EMP0120,Sunita Agarwal,23,Male,Customer Support,Unknown,13/06/22,90334,1,94.8,Not Promoted,Delhi,,,1480,0,0.938823529,0.476590249,0.377,Low,,,
EMP0121,Lakshmi Pandey,44,Male,Sales,Coordinator,26/04/21,261085,3,81.2,Not Promoted,Hyderabad,,,1894,0.5,0.778823529,0.610268001,0.606,Medium,,,
EMP0122,Madhuri Verma,25,Male,Research & Development,Associate,14/08/23,172053,4,51.8,Not Promoted,Chennai,,,1054,0.75,0.432941176,0.339037778,0.573,Medium,,,
EMP0123,Shreya Rao,31,Female,Customer Support,Associate,30/05/18,121294,3,78.6,Not Promoted,Coimbatore,,,2956,0.5,0.748235294,0.953180497,0.665,High,,,
EMP0124,Vinay Mukherjee,23,Male,Logistics,Analyst,05/08/23,297913,2,60.8,Not Promoted,Ahmedabad,,,1063,0.25,0.538823529,0.341943817,0.355,Low,,,
EMP0125,Rajan Iyer,51,Male,Administration,Specialist,05/04/26,96254,1,87.6,Promoted,Kolkata,,,89,0,0.854117647,0.027445915,0.262,Low,,,
EMP0126,Meera Bose,37,Male,Information Technology,Executive,20/11/20,166383,3,73.5,Promoted,Kolkata,,,2051,0.5,0.688235294,0.660962222,0.589,Medium,,,
EMP0127,Shalini Jain,40,Male,Research & Development,Coordinator,23/02/25,47629,3,61.3,Promoted,Delhi,,,495,0.5,0.544705882,0.158540523,0.445,Low,,,
EMP0128,Aarav Sharma,29,Female,Research & Development,Executive,01/11/21,293366,4,89.1,Not Promoted,Delhi,,,1705,0.75,0.871764706,0.549241201,0.746,High,,,
EMP0129,Indira Bose,25,Female,Logistics,Engineer,01/12/24,162596,1,90.5,Not Promoted,Delhi,,,579,0,0.888235294,0.185663545,0.304,Low,,,
EMP0130,Sachin Singh,41,Female,Marketing,Engineer,13/06/22,60840,2,82.8,Not Promoted,Bengaluru,,,1480,0.25,0.797647059,0.476590249,0.46,Medium,,,
EMP0131,Usha Reddy,60,Female,Research & Development,Analyst,18/05/21,284608,1,95.2,Not Promoted,Mumbai,,,1872,0,0.943529412,0.603164353,0.404,Low,,,
EMP0132,Gaurav Mehta,44,Male,Operations,Supervisor,26/11/20,245385,1,60.7,Not Promoted,Ahmedabad,,,2045,0,0.537647059,0.659024863,0.293,Low,,,
EMP0133,Nisha Rao,43,Female,Administration,Analyst,13/06/22,27516,2,80.3,Promoted,Mumbai,,,1480,0.25,0.768235294,0.476590249,0.451,Low,,,
EMP0134,Ramesh Chauhan,41,Male,Logistics,Consultant,21/11/25,253655,2,59.9,Not Promoted,Delhi,,,224,0.25,0.528235294,0.071036487,0.298,Low,,,
EMP0135,Priya Krishnan,28,Male,Logistics,Executive,21/10/21,226565,3,94.2,Not Promoted,Pune,,,1716,0.5,0.931764706,0.552793026,0.64,Medium,,,
EMP0136,Arun Reddy,29,Male,Finance,Associate,29/05/24,197887,5,92.3,Promoted,Mumbai,,,765,1,0.909411765,0.245721666,0.822,High,,,
EMP0137,Seema Menon,32,Male,Human Resources,Specialist,09/07/18,21668,3,51.5,Not Promoted,Ahmedabad,,,2916,0.5,0.429411765,0.940264772,0.567,Medium,,,
EMP0138,Neha Banerjee,33,Male,Customer Support,Manager,28/04/26,163603,2,94.5,Promoted,Delhi,,,66,0.25,0.935294118,0.020019374,0.41,Low,,,
EMP0139,Amit Sharma,41,Male,Logistics,Specialist,16/07/18,228798,2,61.2,Not Promoted,Bengaluru,,,2909,0.25,0.543529412,0.938004521,0.476,Medium,,,
EMP0140,Farhan Lal,36,Female,Administration,Specialist,29/07/22,85646,3,70.1,Not Promoted,Pune,,,1435,0.5,0.648235294,0.462060058,0.537,Medium,,,
EMP0141,Rohit Rajan,37,Female,Administration,Specialist,29/10/24,292669,2,74.8,Not Promoted,Kochi,,,612,0.25,0.703529412,0.196319018,0.375,Low,,,
EMP0142,Divya Banerjee,34,Female,Marketing,Coordinator,08/11/23,174341,3,92.7,Not Promoted,Mumbai,,,968,0.5,0.914117647,0.31126897,0.586,Medium,,,
EMP0143,Neha Rao,39,Male,Marketing,Executive,26/04/21,244474,5,59.7,Not Promoted,Bengaluru,,,1894,1,0.525882353,0.610268001,0.78,High,,,
EMP0144,Sachin Rao,46,Male,Administration,Specialist,03/03/23,141393,1,51.4,Not Promoted,Coimbatore,,,1218,0,0.428235294,0.391992251,0.207,Low,,,
EMP0145,Usha Lal,34,Male,Finance,Executive,18/07/21,277957,3,61.6,Not Promoted,Mumbai,,,1811,0.5,0.548235294,0.583467872,0.531,Medium,,,
EMP0146,Pankaj Tiwari,42,Female,Finance,Analyst,10/05/19,261507,2,94.2,Promoted,Kochi,,,2611,0.25,0.931764706,0.84178237,0.573,Medium,,,
EMP0147,Lakshmi Sharma,30,Male,Operations,Engineer,27/04/21,117270,1,68.4,Not Promoted,Bengaluru,,,1893,0,0.628235294,0.609945108,0.31,Low,,,
EMP0148,Ananya Shah,54,Female,Marketing,Consultant,05/01/25,119250,3,64.4,Not Promoted,Kochi,,,544,0.5,0.581176471,0.174362286,0.459,Medium,,,
EMP0149,Anjali Jain,46,Male,Operations,Specialist,07/01/18,281684,5,93.9,Not Promoted,Hyderabad,,,3099,1,0.928235294,0.999354214,0.978,High,,,
EMP0150,Kiran Menon,50,Female,Finance,Consultant,29/01/20,271984,4,69.1,Not Promoted,Coimbatore,,,2347,0.75,0.636470588,0.756538586,0.717,High,,,
EMP0151,Bhavna Menon,33,Female,Marketing,Analyst,09/05/19,101118,4,92.7,Not Promoted,Hyderabad,,,2612,0.75,0.914117647,0.842105263,0.818,High,,,
EMP0152,Esha Krishnan,41,Female,Finance,Executive,09/09/24,182104,1,50,Promoted,Coimbatore,,,662,0,0.411764706,0.212463675,0.166,Low,,,
EMP0153,Aarav Patel,48,Female,Marketing,Specialist,01/09/21,221320,1,76.9,Promoted,Ahmedabad,,,1766,0,0.728235294,0.568937682,0.332,Low,,,
EMP0154,Deepak Iyer,48,Female,Sales,Engineer,07/07/25,51517,4,50,Not Promoted,Chennai,,,361,0.75,0.411764706,0.115272845,0.522,Medium,,,
EMP0155,Ananya Patel,46,Male,Human Resources,Consultant,09/06/24,54429,3,60.9,Promoted,Delhi,,,754,0.5,0.54,0.242169842,0.46,Medium,,,
EMP0156,Harish Chauhan,38,Male,Research & Development,Team Lead,19/12/25,28855,1,66.8,Not Promoted,Hyderabad,,,196,0,0.609411765,0.061995479,0.195,Low,,,
EMP0299,Ramesh Lal,41,Female,Administration,Specialist,06/08/25,115110,4,54.9,Promoted,Kolkata,,,331,0.75,0.469411765,0.105586051,0.537,Medium,,,
